object_name,feature_extraction_model_name,feature_extraction_initialization,augmented,feature_extraction_layer,feature_extraction_shape,model_name,hyperparameter,auroc,train_time,test_inference_time
capsule,resnet18,imagenet1k_v1,True,layer3,"[1314, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9090546469884323,1.3442838191986084,0.41558289527893066
capsule,resnet18,imagenet1k_v1,False,layer3,"[219, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9090546469884323,0.28690171241760254,0.3056652545928955
capsule,resnet18,imagenet1k_v1,True,layer3,"[1314, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 16},0.9062624650977263,1.3424193859100342,0.4136195182800293
capsule,resnet18,imagenet1k_v1,False,layer3,"[219, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 16},0.9062624650977263,0.2962028980255127,0.2992668151855469
capsule,resnet50,imagenet1k_v2,False,layer4,"[219, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 2},0.9022736338252892,0.8241126537322998,0.7859838008880615
capsule,resnet50,imagenet1k_v2,True,layer4,"[1314, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 2},0.9022736338252892,3.005469799041748,1.029489278793335
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.ensemble.IsolationForest,{'n_estimators': 600},0.945024077046549,0.3970363140106201,1.070953130722046
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.neighbors.KernelDensity,"{'bandwidth': 0.5, 'kernel': 'exponential'}",0.9369983948635634,3.034339427947998,12.773637294769287
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 64},0.9369983948635634,2.164033889770508,0.44273853302001953
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 56},0.9365971107544142,2.1612954139709473,0.402280330657959
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 48},0.9361958266452649,2.1908531188964844,0.43911099433898926
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.neighbors.KernelDensity,"{'bandwidth': 1.0, 'kernel': 'exponential'}",0.9357945425361156,3.0347609519958496,12.775271654129028
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.neighbors.KernelDensity,"{'bandwidth': 'scott', 'kernel': 'exponential'}",0.9357945425361156,3.036059856414795,12.775728940963745
